user_id,signup_date,plan_type,monthly_fee,avg_weekly_usage_hours,support_tickets,payment_failures,tenure_months,last_login_days_ago,churn,churn_probability,estimated_remaining_months,revenue_at_risk,expected_revenue_at_risk,expected_remaining_ltv,risk_level,risk_category,recovery_probability,estimated_recoverable_revenue,recommended_action,intervention_cost,net_recoverable_value,roi_multiple,is_profitable_intervention
17,2024-04-09,Premium,699,19.3,5,0,18,18,No,0.2218,6,930.23,930.23,3263.77,Low Risk,Low Risk,0.67,623.25,No action,0.0,623.25,623.2,False
18,2024-10-02,Basic,199,24.3,2,4,17,58,Yes,0.6391,6,763.09,763.09,430.91,High Risk,High Risk,0.36,274.71,Payment retry & Concierge billing call,65.0,209.71,4.2,True
19,2024-06-27,Standard,399,15.4,2,2,33,48,Yes,0.5979,8,1908.5,1908.5,1283.5,Medium Risk,Medium Risk,0.47,897.0,Payment retry & Concierge billing call,65.0,832.0,13.8,True
20,2023-11-11,Basic,199,12.5,1,2,21,56,No,0.4841,8,770.69,770.69,821.31,Medium Risk,Medium Risk,0.49,377.64,Payment retry & Concierge billing call,65.0,312.64,5.8,True
21,2023-03-12,Basic,199,6.4,1,0,4,46,No,0.3514,4,279.71,279.71,516.29,Medium Risk,Medium Risk,0.54,151.04,Engagement campaign,10.0,141.04,15.1,True
22,2024-09-13,Premium,699,3.6,7,4,9,10,Yes,0.9063,6,3801.02,3801.02,392.98,Critical Risk,Critical Risk,0.05,190.05,Payment retry & Concierge billing call,65.0,125.05,2.9,True
23,2024-11-18,Standard,399,23.3,3,5,14,19,No,0.4968,6,1189.34,1189.34,1204.66,Medium Risk,Medium Risk,0.29,344.91,Payment retry & Concierge billing call,65.0,279.91,5.3,True
24,2023-03-07,Premium,699,11.2,8,3,24,7,Yes,0.6155,8,3441.88,3441.88,2150.12,High Risk,High Risk,0.29,998.15,Payment retry & Concierge billing call,65.0,933.15,15.4,True
25,2024-12-25,Standard,399,14.9,3,4,2,14,Yes,0.5935,4,947.23,947.23,648.77,Medium Risk,Medium Risk,0.35,331.53,Payment retry & Concierge billing call,65.0,266.53,5.1,True
26,2023-10-13,Premium,699,6.1,0,2,4,4,No,0.2524,4,705.71,705.71,2090.29,Low Risk,Low Risk,0.58,409.31,No action,0.0,409.31,409.3,False
27,2024-08-13,Premium,699,5.7,2,5,32,59,No,0.5631,8,3148.86,3148.86,2443.14,Medium Risk,Medium Risk,0.08,251.91,Payment retry & Concierge billing call,65.0,186.91,3.9,True
28,2024-03-17,Standard,399,19.7,6,1,16,6,Yes,0.3341,6,799.84,799.84,1594.16,Low Risk,Low Risk,0.66,527.89,No action,0.0,527.89,527.9,False
29,2023-04-11,Standard,399,10.6,0,5,28,41,No,0.4931,8,1573.98,1573.98,1618.02,Medium Risk,Medium Risk,0.21,330.54,Payment retry & Concierge billing call,65.0,265.54,5.1,True
30,2024-04-04,Basic,199,18.3,1,1,26,12,No,0.1343,8,213.81,213.81,1378.19,Low Risk,Low Risk,0.84,179.6,No action,0.0,179.6,179.6,False
31,2024-03-29,Basic,199,5.0,7,1,28,55,No,0.3849,8,612.76,612.76,979.24,Medium Risk,Medium Risk,0.27,165.45,Payment reminder,15.0,150.45,11.0,True
32,2023-08-31,Premium,699,1.7,8,0,7,5,No,0.2021,6,847.61,847.61,3346.39,Low Risk,Low Risk,0.42,356.0,No action,0.0,356.0,356.0,False
33,2024-01-24,Basic,199,12.4,3,3,27,57,Yes,0.6599,8,1050.56,1050.56,541.44,High Risk,High Risk,0.3,315.17,Payment retry & Concierge billing call,65.0,250.17,4.8,True
34,2024-07-23,Basic,199,7.0,7,2,25,27,Yes,0.784,8,1248.13,1248.13,343.87,High Risk,High Risk,0.15,187.22,Payment retry & Concierge billing call,65.0,122.22,2.9,True
35,2024-07-09,Premium,699,4.3,4,1,32,3,No,0.5421,8,3031.42,3031.42,2560.58,Medium Risk,Medium Risk,0.58,1758.22,Payment reminder & Priority billing assistance,35.0,1723.22,50.2,True
36,2023-06-11,Basic,199,1.9,7,4,21,58,Yes,0.9834,8,1565.57,1565.57,26.43,Critical Risk,Critical Risk,0.05,78.28,Payment retry & Concierge billing call,65.0,13.28,1.2,True
37,2023-08-29,Basic,199,2.5,2,0,33,38,Yes,0.794,8,1264.05,1264.05,327.95,High Risk,High Risk,0.43,543.54,Engagement campaign,10.0,533.54,54.4,True
38,2023-03-25,Standard,399,23.6,3,4,8,38,Yes,0.6284,6,1504.39,1504.39,889.61,High Risk,High Risk,0.24,361.05,Payment retry & Concierge billing call,65.0,296.05,5.6,True
39,2023-09-02,Standard,399,8.3,4,1,34,42,No,0.4516,8,1441.51,1441.51,1750.49,Medium Risk,Medium Risk,0.42,605.43,Payment reminder & Priority billing assistance,35.0,570.43,17.3,True
40,2023-03-16,Standard,399,3.7,4,3,26,20,No,0.6518,8,2080.55,2080.55,1111.45,High Risk,High Risk,0.26,540.94,Payment retry & Concierge billing call,65.0,475.94,8.3,True
41,2023-09-29,Basic,199,15.7,1,0,30,34,Yes,0.3074,8,489.38,489.38,1102.62,Low Risk,Low Risk,0.72,352.35,No action,0.0,352.35,352.4,False
42,2024-07-10,Basic,199,22.1,3,2,23,18,Yes,0.4716,8,750.79,750.79,841.21,Medium Risk,Medium Risk,0.58,435.46,Payment retry & Concierge billing call,65.0,370.46,6.7,True
43,2023-11-03,Premium,699,15.5,8,0,20,42,No,0.4588,8,2565.61,2565.61,3026.39,Medium Risk,Medium Risk,0.44,1128.87,Customer support follow-up,120.0,1008.87,9.4,True
44,2024-07-20,Premium,699,23.5,2,2,7,7,No,0.3276,6,1373.95,1373.95,2820.05,Low Risk,Low Risk,0.68,934.29,No action,0.0,934.29,934.3,False
45,2024-10-11,Basic,199,7.4,3,5,18,21,Yes,0.6091,6,727.27,727.27,466.73,High Risk,High Risk,0.13,94.55,Payment retry & Concierge billing call,65.0,29.55,1.5,True
46,2023-10-11,Standard,399,12.5,0,0,33,40,No,0.3432,8,1095.49,1095.49,2096.51,Low Risk,Low Risk,0.72,788.75,No action,0.0,788.75,788.8,False
47,2024-03-28,Basic,199,8.7,2,5,1,16,Yes,0.6084,4,484.29,484.29,311.71,High Risk,High Risk,0.11,53.27,Payment retry & Concierge billing call,65.0,-11.73,0.8,False
48,2023-06-02,Premium,699,14.2,1,0,28,60,No,0.3095,8,1730.72,1730.72,3861.28,Low Risk,Low Risk,0.7,1211.5,No action,0.0,1211.5,1211.5,False
49,2023-11-12,Premium,699,20.9,8,1,3,27,Yes,0.6895,4,1927.84,1927.84,868.16,High Risk,High Risk,0.39,751.86,Payment reminder & Priority billing assistance,35.0,716.86,21.5,True
50,2023-12-29,Standard,399,22.5,3,5,3,15,No,0.5514,4,880.03,880.03,715.97,Medium Risk,Medium Risk,0.2,176.01,Payment retry & Concierge billing call,65.0,111.01,2.7,True
51,2023-07-01,Premium,699,24.4,2,1,27,55,Yes,0.4701,8,2628.8,2628.8,2963.2,Medium Risk,Medium Risk,0.66,1735.01,Payment reminder & Priority billing assistance,35.0,1700.01,49.6,True
52,2023-09-12,Standard,399,4.9,5,3,2,51,Yes,0.8627,4,1376.87,1376.87,219.13,Critical Risk,Critical Risk,0.05,68.84,Payment retry & Concierge billing call,65.0,3.84,1.1,True
53,2024-04-26,Standard,399,19.8,1,3,11,55,Yes,0.6158,6,1474.23,1474.23,919.77,High Risk,High Risk,0.38,560.21,Payment retry & Concierge billing call,65.0,495.21,8.6,True
54,2023-08-22,Basic,199,20.5,7,2,13,19,No,0.6593,6,787.2,787.2,406.8,High Risk,High Risk,0.4,314.88,Payment retry & Concierge billing call,65.0,249.88,4.8,True
55,2023-10-13,Basic,199,16.7,6,2,2,17,No,0.5418,4,431.27,431.27,364.73,Medium Risk,Medium Risk,0.33,142.32,Payment retry & Concierge billing call,65.0,77.32,2.2,True
56,2023-09-25,Standard,399,10.3,8,2,33,60,Yes,0.7782,8,2484.01,2484.01,707.99,High Risk,High Risk,0.06,149.04,Payment retry & Concierge billing call,65.0,84.04,2.3,True
57,2024-03-22,Basic,199,1.4,6,2,17,46,Yes,0.9761,6,1165.46,1165.46,28.54,Critical Risk,Critical Risk,0.05,58.27,Payment retry & Concierge billing call,65.0,-6.73,0.9,False
58,2023-01-02,Premium,699,3.3,3,2,33,2,No,0.2451,8,1370.6,1370.6,4221.4,Low Risk,Low Risk,0.51,699.01,No action,0.0,699.01,699.0,False
59,2024-11-11,Premium,699,17.3,3,2,35,27,Yes,0.4903,8,2741.76,2741.76,2850.24,Medium Risk,Medium Risk,0.53,1453.13,Payment retry & Concierge billing call,65.0,1388.13,22.4,True
60,2023-11-13,Standard,399,16.8,1,5,21,57,Yes,0.6921,8,2209.18,2209.18,982.82,High Risk,High Risk,0.23,508.11,Payment retry & Concierge billing call,65.0,443.11,7.8,True
61,2024-11-11,Premium,699,8.5,4,4,27,8,Yes,0.4424,8,2473.9,2473.9,3118.1,Medium Risk,Medium Risk,0.32,791.65,Payment retry & Concierge billing call,65.0,726.65,12.2,True
62,2023-11-08,Standard,399,15.6,4,3,12,35,No,0.6955,6,1665.03,1665.03,728.97,High Risk,High Risk,0.22,366.31,Payment retry & Concierge billing call,65.0,301.31,5.6,True
63,2023-08-07,Standard,399,11.0,5,3,14,28,Yes,0.7921,6,1896.29,1896.29,497.71,High Risk,High Risk,0.17,322.37,Payment retry & Concierge billing call,65.0,257.37,5.0,True
64,2024-11-10,Premium,699,19.9,2,5,31,5,Yes,0.4391,8,2455.45,2455.45,3136.55,Medium Risk,Medium Risk,0.42,1031.29,Payment retry & Concierge billing call,65.0,966.29,15.9,True
65,2023-07-23,Premium,699,2.8,3,5,22,19,Yes,0.8298,8,4640.24,4640.24,951.76,Critical Risk,Critical Risk,0.05,232.01,Payment retry & Concierge billing call,65.0,167.01,3.6,True
66,2024-04-11,Basic,199,1.6,7,4,2,54,Yes,0.9449,4,752.14,752.14,43.86,Critical Risk,Critical Risk,0.05,37.61,Payment retry & Concierge billing call,65.0,-27.39,0.6,False
67,2024-11-02,Standard,399,18.1,6,3,13,25,Yes,0.7899,6,1891.02,1891.02,502.98,High Risk,High Risk,0.2,378.2,Payment retry & Concierge billing call,65.0,313.2,5.8,True
68,2024-12-13,Premium,699,22.4,1,3,1,14,Yes,0.6128,4,1713.39,1713.39,1082.61,High Risk,High Risk,0.6,1028.03,Payment retry & Concierge billing call,65.0,963.03,15.8,True
69,2024-04-20,Premium,699,1.7,3,0,30,29,Yes,0.7103,8,3972.0,3972.0,1620.0,High Risk,High Risk,0.58,2303.76,Customer support follow-up,120.0,2183.76,19.2,True
70,2024-05-31,Premium,699,24.7,5,3,34,39,No,0.7276,8,4068.74,4068.74,1523.26,High Risk,High Risk,0.35,1424.06,Payment retry & Concierge billing call,65.0,1359.06,21.9,True
71,2023-09-23,Standard,399,11.4,2,5,36,55,Yes,0.7064,8,2254.83,2254.83,937.17,High Risk,High Risk,0.13,293.13,Payment retry & Concierge billing call,65.0,228.13,4.5,True
72,2024-03-26,Basic,199,19.3,8,3,18,40,Yes,0.8635,6,1031.02,1031.02,162.98,Critical Risk,Critical Risk,0.05,51.55,Payment retry & Concierge billing call,65.0,-13.45,0.8,False
73,2023-05-22,Basic,199,6.2,5,2,19,57,Yes,0.7415,8,1180.47,1180.47,411.53,High Risk,High Risk,0.26,306.92,Payment retry & Concierge billing call,65.0,241.92,4.7,True
74,2024-02-22,Basic,199,9.9,2,5,15,13,Yes,0.4541,6,542.2,542.2,651.8,Medium Risk,Medium Risk,0.32,173.5,Payment retry & Concierge billing call,65.0,108.5,2.7,True
75,2024-08-21,Standard,399,11.9,0,1,35,53,No,0.2987,8,953.45,953.45,2238.55,Low Risk,Low Risk,0.62,591.14,No action,0.0,591.14,591.1,False
76,2023-11-02,Premium,699,21.5,6,3,2,0,No,0.3873,4,1082.89,1082.89,1713.11,Medium Risk,Medium Risk,0.39,422.33,Payment retry & Concierge billing call,65.0,357.33,6.5,True
77,2023-08-13,Standard,399,13.7,8,4,27,57,Yes,0.8399,8,2680.96,2680.96,511.04,Critical Risk,Critical Risk,0.05,134.05,Payment retry & Concierge billing call,65.0,69.05,2.1,True
78,2024-02-19,Standard,399,12.4,6,2,28,42,Yes,0.7998,8,2552.96,2552.96,639.04,High Risk,High Risk,0.16,408.47,Payment retry & Concierge billing call,65.0,343.47,6.3,True
79,2024-02-08,Premium,699,21.1,2,4,11,34,Yes,0.6685,6,2803.69,2803.69,1390.31,High Risk,High Risk,0.25,700.92,Payment retry & Concierge billing call,65.0,635.92,10.8,True
80,2023-02-21,Premium,699,2.6,6,1,2,55,Yes,0.9165,4,2562.53,2562.53,233.47,Critical Risk,Critical Risk,0.09,230.63,Payment reminder & Priority billing assistance,35.0,195.63,6.6,True
81,2024-01-24,Standard,399,8.5,7,2,25,21,No,0.653,8,2084.38,2084.38,1107.62,High Risk,High Risk,0.29,604.47,Payment retry & Concierge billing call,65.0,539.47,9.3,True
82,2023-02-23,Standard,399,6.7,1,3,27,1,No,0.3282,8,1047.61,1047.61,2144.39,Low Risk,Low Risk,0.53,555.23,No action,0.0,555.23,555.2,False
83,2023-01-21,Standard,399,16.4,0,0,15,60,Yes,0.4575,6,1095.26,1095.26,1298.74,Medium Risk,Medium Risk,0.76,832.4,Engagement campaign,10.0,822.4,83.2,True
84,2023-08-12,Premium,699,6.3,7,5,10,7,No,0.3676,6,1541.71,1541.71,2652.29,Medium Risk,Medium Risk,0.05,77.09,Payment retry & Concierge billing call,65.0,12.09,1.2,True
85,2023-04-28,Standard,399,19.3,2,4,17,38,No,0.6454,6,1545.09,1545.09,848.91,High Risk,High Risk,0.31,478.98,Payment retry & Concierge billing call,65.0,413.98,7.4,True
86,2024-01-20,Basic,199,3.1,0,2,20,36,Yes,0.7686,8,1223.61,1223.61,368.39,High Risk,High Risk,0.31,379.32,Payment retry & Concierge billing call,65.0,314.32,5.8,True
87,2024-12-01,Standard,399,2.4,3,0,13,44,No,0.5701,6,1364.82,1364.82,1029.18,Medium Risk,Medium Risk,0.5,682.41,Customer support follow-up,120.0,562.41,5.7,True
88,2024-01-15,Premium,699,20.0,0,2,8,34,Yes,0.6348,6,2662.35,2662.35,1531.65,High Risk,High Risk,0.52,1384.42,Payment retry & Concierge billing call,65.0,1319.42,21.3,True
89,2024-03-19,Basic,199,16.4,0,3,33,52,Yes,0.4573,8,728.02,728.02,863.98,Medium Risk,Medium Risk,0.46,334.89,Payment retry & Concierge billing call,65.0,269.89,5.2,True
90,2024-10-28,Standard,399,17.8,6,1,30,46,No,0.3465,8,1106.03,1106.03,2085.97,Low Risk,Low Risk,0.44,486.65,No action,0.0,486.65,486.6,False
91,2023-10-02,Standard,399,19.5,7,3,35,52,Yes,0.7611,8,2429.43,2429.43,762.57,High Risk,High Risk,0.09,218.65,Payment retry & Concierge billing call,65.0,153.65,3.4,True
92,2024-04-20,Standard,399,20.9,1,2,16,56,Yes,0.5833,6,1396.42,1396.42,997.58,Medium Risk,Medium Risk,0.57,795.96,Payment retry & Concierge billing call,65.0,730.96,12.2,True
93,2023-12-30,Premium,699,8.7,7,2,25,11,Yes,0.4323,8,2417.42,2417.42,3174.58,Medium Risk,Medium Risk,0.41,991.14,Payment retry & Concierge billing call,65.0,926.14,15.2,True
94,2023-07-15,Standard,399,7.4,4,4,22,0,No,0.4571,8,1459.06,1459.06,1732.94,Medium Risk,Medium Risk,0.31,452.31,Payment retry & Concierge billing call,65.0,387.31,7.0,True
95,2024-05-02,Basic,199,18.1,7,4,16,48,Yes,0.7668,6,915.56,915.56,278.44,High Risk,High Risk,0.05,45.78,Payment retry & Concierge billing call,65.0,-19.22,0.7,False
96,2024-12-09,Premium,699,11.5,0,0,32,18,No,0.1373,8,767.78,767.78,4824.22,Low Risk,Low Risk,0.8,614.22,No action,0.0,614.22,614.2,False
97,2024-03-11,Basic,199,16.8,5,3,20,35,Yes,0.7595,8,1209.12,1209.12,382.88,High Risk,High Risk,0.15,181.37,Payment retry & Concierge billing call,65.0,116.37,2.8,True
98,2023-05-04,Premium,699,8.6,7,2,36,19,Yes,0.4061,8,2270.91,2270.91,3321.09,Medium Risk,Medium Risk,0.29,658.56,Payment retry & Concierge billing call,65.0,593.56,10.1,True
99,2024-05-10,Premium,699,8.2,8,5,13,11,Yes,0.6848,6,2872.05,2872.05,1321.95,High Risk,High Risk,0.06,172.32,Payment retry & Concierge billing call,65.0,107.32,2.7,True
100,2023-07-03,Standard,399,15.1,1,1,34,18,No,0.2389,8,762.57,762.57,2429.43,Low Risk,Low Risk,0.69,526.17,No action,0.0,526.17,526.2,False
101,2024-07-20,Standard,399,17.8,2,2,1,2,No,0.4509,4,719.64,719.64,876.36,Medium Risk,Medium Risk,0.62,446.18,Payment retry & Concierge billing call,65.0,381.18,6.9,True
102,2023-10-19,Standard,399,16.1,7,0,9,55,Yes,0.463,6,1108.42,1108.42,1285.58,Medium Risk,Medium Risk,0.4,443.37,Customer support follow-up,120.0,323.37,3.7,True
103,2024-05-04,Standard,399,11.3,2,0,31,16,No,0.2082,8,664.57,664.57,2527.43,Low Risk,Low Risk,0.71,471.84,No action,0.0,471.84,471.8,False
104,2023-06-05,Basic,199,10.3,1,4,5,40,No,0.6302,6,752.46,752.46,441.54,High Risk,High Risk,0.18,135.44,Payment retry & Concierge billing call,65.0,70.44,2.1,True
105,2024-09-12,Basic,199,2.6,3,0,20,35,No,0.6856,8,1091.48,1091.48,500.52,High Risk,High Risk,0.51,556.65,Customer support follow-up,120.0,436.65,4.6,True
106,2024-08-25,Premium,699,19.5,6,3,15,58,Yes,0.8344,6,3499.47,3499.47,694.53,Critical Risk,Critical Risk,0.13,454.93,Payment retry & Concierge billing call,65.0,389.93,7.0,True
107,2023-08-01,Standard,399,14.4,0,4,20,47,Yes,0.5203,8,1660.8,1660.8,1531.2,Medium Risk,Medium Risk,0.34,564.67,Payment retry & Concierge billing call,65.0,499.67,8.7,True
108,2023-03-18,Premium,699,7.0,1,1,14,15,No,0.1415,6,593.45,593.45,3600.55,Low Risk,Low Risk,0.61,362.0,No action,0.0,362.0,362.0,False
109,2024-12-24,Basic,199,10.5,7,2,1,2,Yes,0.6941,4,552.5,552.5,243.5,High Risk,High Risk,0.34,187.85,Payment retry & Concierge billing call,65.0,122.85,2.9,True
110,2024-08-26,Standard,399,2.2,3,2,30,50,Yes,0.9409,8,3003.35,3003.35,188.65,Critical Risk,Critical Risk,0.18,540.6,Payment retry & Concierge billing call,65.0,475.6,8.3,True
111,2023-09-30,Premium,699,10.9,8,1,13,41,Yes,0.4333,6,1817.26,1817.26,2376.74,Medium Risk,Medium Risk,0.29,527.01,Payment reminder & Priority billing assistance,35.0,492.01,15.1,True
112,2023-10-23,Basic,199,2.0,4,4,5,47,Yes,0.9699,6,1158.06,1158.06,35.94,Critical Risk,Critical Risk,0.05,57.9,Payment retry & Concierge billing call,65.0,-7.1,0.9,False
113,2024-05-27,Standard,399,12.0,4,5,8,25,No,0.6691,6,1601.83,1601.83,792.17,High Risk,High Risk,0.06,96.11,Payment retry & Concierge billing call,65.0,31.11,1.5,True
114,2023-09-14,Premium,699,11.2,0,3,32,47,Yes,0.6097,8,3409.44,3409.44,2182.56,High Risk,High Risk,0.41,1397.87,Payment retry & Concierge billing call,65.0,1332.87,21.5,True
115,2023-02-11,Basic,199,6.1,0,5,6,52,Yes,0.5881,6,702.19,702.19,491.81,Medium Risk,Medium Risk,0.08,56.18,Payment retry & Concierge billing call,65.0,-8.82,0.9,False
116,2024-03-22,Basic,199,13.2,7,2,31,11,No,0.4694,8,747.28,747.28,844.72,Medium Risk,Medium Risk,0.45,336.28,Payment retry & Concierge billing call,65.0,271.28,5.2,True
117,2024-11-17,Premium,699,24.2,7,2,32,26,Yes,0.7189,8,4020.09,4020.09,1571.91,High Risk,High Risk,0.44,1768.84,Payment retry & Concierge billing call,65.0,1703.84,27.2,True
118,2024-07-17,Basic,199,8.6,7,2,11,42,No,0.6794,6,811.2,811.2,382.8,High Risk,High Risk,0.13,105.46,Payment retry & Concierge billing call,65.0,40.46,1.6,True
119,2024-02-18,Basic,199,2.7,4,2,30,7,No,0.6759,8,1076.03,1076.03,515.97,High Risk,High Risk,0.47,505.73,Payment retry & Concierge billing call,65.0,440.73,7.8,True
120,2024-06-14,Premium,699,16.6,8,3,1,26,Yes,0.9096,4,2543.24,2543.24,252.76,Critical Risk,Critical Risk,0.05,127.16,Payment retry & Concierge billing call,65.0,62.16,2.0,True
121,2023-10-22,Standard,399,15.8,0,1,32,17,No,0.1437,8,458.69,458.69,2733.31,Low Risk,Low Risk,0.74,339.43,No action,0.0,339.43,339.4,False
122,2023-01-15,Standard,399,3.5,3,5,32,10,Yes,0.6872,8,2193.54,2193.54,998.46,High Risk,High Risk,0.21,460.64,Payment retry & Concierge billing call,65.0,395.64,7.1,True
123,2023-06-07,Premium,699,2.8,1,3,27,60,Yes,0.9217,8,5154.15,5154.15,437.85,Critical Risk,Critical Risk,0.17,876.21,Payment retry & Concierge billing call,65.0,811.21,13.5,True
124,2024-04-28,Standard,399,13.0,4,3,19,53,Yes,0.7217,8,2303.67,2303.67,888.33,High Risk,High Risk,0.27,621.99,Payment retry & Concierge billing call,65.0,556.99,9.6,True
125,2023-05-20,Basic,199,14.0,6,1,30,58,No,0.4722,8,751.74,751.74,840.26,Medium Risk,Medium Risk,0.4,300.7,Payment reminder,15.0,285.7,20.0,True
126,2023-10-01,Basic,199,19.4,6,2,18,59,No,0.7334,6,875.68,875.68,318.32,High Risk,High Risk,0.35,306.49,Payment retry & Concierge billing call,65.0,241.49,4.7,True
127,2023-12-20,Basic,199,18.3,7,1,19,28,No,0.3138,8,499.57,499.57,1092.43,Low Risk,Low Risk,0.48,239.79,No action,0.0,239.79,239.8,False
128,2023-07-13,Standard,399,19.2,6,3,36,59,Yes,0.7453,8,2379.0,2379.0,813.0,High Risk,High Risk,0.25,594.75,Payment retry & Concierge billing call,65.0,529.75,9.2,True
129,2024-04-29,Premium,699,14.5,3,3,16,2,Yes,0.4641,6,1946.44,1946.44,2247.56,Medium Risk,Medium Risk,0.52,1012.15,Payment retry & Concierge billing call,65.0,947.15,15.6,True
130,2024-08-27,Premium,699,10.0,2,3,25,2,Yes,0.4105,8,2295.52,2295.52,3296.48,Medium Risk,Medium Risk,0.52,1193.67,Payment retry & Concierge billing call,65.0,1128.67,18.4,True
131,2023-01-16,Standard,399,21.9,7,0,7,33,No,0.3861,6,924.32,924.32,1469.68,Medium Risk,Medium Risk,0.46,425.19,Customer support follow-up,120.0,305.19,3.5,True
132,2023-09-29,Premium,699,10.5,2,0,10,30,No,0.2886,6,1210.39,1210.39,2983.61,Low Risk,Low Risk,0.62,750.44,No action,0.0,750.44,750.4,False
133,2023-11-21,Standard,399,16.4,5,5,26,54,Yes,0.7545,8,2408.36,2408.36,783.64,High Risk,High Risk,0.05,120.42,Payment retry & Concierge billing call,65.0,55.42,1.9,True
134,2024-12-01,Premium,699,21.9,0,4,32,4,Yes,0.3303,8,1847.04,1847.04,3744.96,Low Risk,Low Risk,0.62,1145.16,No action,0.0,1145.16,1145.2,False
135,2023-04-13,Standard,399,18.8,6,0,15,48,No,0.4432,6,1061.02,1061.02,1332.98,Medium Risk,Medium Risk,0.55,583.56,Customer support follow-up,120.0,463.56,4.9,True
136,2023-10-28,Standard,399,17.5,0,0,11,20,No,0.193,6,462.04,462.04,1931.96,Low Risk,Low Risk,0.78,360.39,No action,0.0,360.39,360.4,False
137,2023-07-04,Standard,399,11.1,3,4,24,26,Yes,0.6868,8,2192.27,2192.27,999.73,High Risk,High Risk,0.27,591.91,Payment retry & Concierge billing call,65.0,526.91,9.1,True
138,2024-08-20,Basic,199,2.4,6,4,12,43,Yes,0.9661,6,1153.52,1153.52,40.48,Critical Risk,Critical Risk,0.05,57.68,Payment retry & Concierge billing call,65.0,-7.32,0.9,False
139,2024-04-21,Basic,199,11.8,4,3,15,16,No,0.5214,6,622.55,622.55,571.45,Medium Risk,Medium Risk,0.34,211.67,Payment retry & Concierge billing call,65.0,146.67,3.3,True
140,2024-03-10,Standard,399,4.4,7,2,35,37,Yes,0.9629,8,3073.58,3073.58,118.42,Critical Risk,Critical Risk,0.05,153.68,Payment retry & Concierge billing call,65.0,88.68,2.4,True
